iter	Passed	Remaining
0	0	231
1	0	195
2	1	179
3	1	170
4	1	164
5	1	161
6	2	158
7	2	169
8	3	175
9	3	180
10	4	178
11	4	176
12	4	175
13	5	178
14	5	177
15	6	184
16	6	186
17	6	184
18	7	183
19	7	181
20	7	179
21	8	177
22	8	177
23	8	175
24	9	174
25	9	172
26	9	172
27	10	172
28	10	172
29	12	202
30	13	202
31	13	201
32	14	199
33	14	197
34	14	196
35	15	195
36	15	196
37	16	195
38	16	194
39	17	203
40	18	205
41	18	207
42	19	205
43	19	204
44	20	203
45	20	202
46	20	202
47	21	200
48	21	199
49	22	199
50	22	199
51	25	218
52	25	217
53	26	215
54	26	213
55	26	212
56	27	210
57	27	209
58	27	207
59	28	206
60	28	205
61	28	203
62	29	206
63	30	207
64	31	209
65	31	208
66	32	207
67	32	206
68	32	205
69	33	204
70	33	203
71	34	202
72	34	201
73	34	199
74	35	199
75	35	198
76	35	197
77	36	197
78	36	196
79	37	195
80	37	194
81	37	193
82	38	192
