Tarih,Max_Sicaklik_C,Min_Sicaklik_C,Yagis_mm,Don_Riski,Kritik_Don,Hasat_Donemi,Asgari_Yagis
2021-03-11,9.0,4.63,9.77,0,0,0,0
2021-03-12,4.57,-0.07,5.33,1,0,0,0
2021-03-13,9.97,-1.33,0.0,1,0,0,0
2021-03-14,12.8,5.13,0.0,0,0,0,0
2021-03-15,17.0,8.3,0.03,0,0,0,0
2021-03-16,19.3,9.47,6.43,0,0,0,0
2021-03-17,15.97,7.97,5.03,0,0,0,0
2021-03-18,11.9,5.57,1.37,0,0,0,0
2021-03-19,9.9,6.13,1.57,0,0,0,0
2021-03-20,11.3,6.6,5.0,0,0,0,0
2021-03-21,7.03,5.0,11.07,0,0,0,0
2021-03-22,15.0,4.9,2.6,0,0,0,0
2021-03-23,15.43,5.1,6.8,0,0,0,0
2021-03-24,6.2,3.67,13.63,0,0,0,0
2021-03-25,5.4,2.77,7.9,0,0,0,0
2021-03-26,7.77,2.23,1.8,0,0,0,0
2021-03-27,8.63,2.73,1.83,0,0,0,0
2021-03-28,11.13,2.7,0.0,0,0,0,0
2021-03-29,12.7,2.6,0.0,0,0,0,0
2021-03-30,9.77,5.37,0.87,0,0,0,0
2021-03-31,9.1,6.03,0.93,0,0,0,0
2021-04-01,7.53,5.1,3.43,0,0,0,0
2021-04-02,10.1,5.63,2.87,0,0,0,0
2021-04-03,15.83,6.03,0.6,0,0,0,0
2021-04-04,20.9,7.33,0.2,0,0,0,0
2021-04-05,20.43,8.63,5.4,0,0,0,0
2021-04-06,20.3,5.8,2.83,0,0,0,0
2021-04-07,27.57,13.67,0.0,0,0,0,0
2021-04-08,15.87,9.5,0.53,0,0,0,0
2021-04-09,9.73,5.77,9.0,0,0,0,0
2021-04-10,8.17,5.33,6.33,0,0,0,0
2021-04-11,9.3,6.27,4.87,0,0,0,0
2021-04-12,10.57,5.8,1.6,0,0,0,0
2021-04-13,10.67,5.8,1.2,0,0,0,0
2021-04-14,16.73,4.93,0.0,0,0,0,0
2021-04-15,19.0,9.63,0.0,0,0,0,0
2021-04-16,18.0,8.7,0.03,0,0,0,0
2021-04-17,13.83,8.2,0.13,0,0,0,0
2021-04-18,24.77,9.67,0.0,0,0,0,0
2021-04-19,22.63,15.4,0.07,0,0,0,0
2021-04-20,21.87,10.4,1.57,0,0,0,0
2021-04-21,13.87,9.53,0.1,0,0,0,0
2021-04-22,12.63,9.07,0.77,0,0,0,0
2021-04-23,17.43,7.77,0.0,0,0,0,0
2021-04-24,16.37,10.0,0.0,0,0,0,0
2021-04-25,12.4,8.87,3.5,0,0,0,0
2021-04-26,11.43,8.43,10.67,0,0,0,0
2021-04-27,12.93,9.0,1.23,0,0,0,0
2021-04-28,20.0,9.03,0.0,0,0,0,0
2021-04-29,23.37,11.13,0.13,0,0,0,0
2021-04-30,18.3,14.0,1.93,0,0,0,0
2021-05-01,20.93,11.43,0.0,0,0,0,0
2021-05-02,23.1,12.4,0.0,0,0,0,0
2021-05-03,26.83,16.27,0.0,0,0,0,0
2021-05-04,20.33,12.97,10.13,0,0,0,0
2021-05-05,14.87,10.73,0.4,0,0,0,0
2021-05-06,20.5,10.17,3.23,0,0,0,0
2021-05-07,20.43,13.17,0.67,0,0,0,0
2021-05-08,26.57,12.97,0.4,0,0,0,0
2021-05-09,17.07,8.57,17.9,0,0,0,0
2021-05-10,12.37,7.3,0.27,0,0,0,0
2021-05-11,13.8,6.03,0.0,0,0,0,0
2021-05-12,18.8,7.33,0.0,0,0,0,0
2021-05-13,23.03,11.97,0.0,0,0,0,0
2021-05-14,23.7,14.67,0.0,0,0,0,0
2021-05-15,21.13,13.6,0.0,0,0,0,0
2021-05-16,20.7,14.27,0.03,0,0,0,0
2021-05-17,19.2,13.53,0.83,0,0,0,0
2021-05-18,23.7,12.3,0.0,0,0,0,0
