Sezon_Yili,TR_Rekolte_Tahmin_Ton,TR_Rekolte_Gercek_Ton,Rekolte_Surprise_Pct,Rekolte_Sapma_Ton,Randiman_Pct,Randiman_Kalite,Dunya_Uretim_Ton,Dunya_Tuketim_Ton,Global_Arz_Acigi_Ton,Stok_Kullanim_Oran_Pct,TR_Pazar_Payi_Pct,Italya_Uretim_Ton,Azerbaycan_Uretim_Ton,Rekolte_Surprise_Lag1,TR_Uretim_MA3,Global_Kitlik_Skoru
2015,700000,646000,-7.71,-54000,51.5,Yuksek,920000,880000,-40000,104.55,70.22,87000,30000,,646000.0,36.36
2016,500000,420000,-16.0,-80000,48.0,Dusuk,700000,870000,170000,80.46,60.0,75000,32000,-7.71,533000.0,100.0
2017,600000,675000,12.5,75000,52.5,Yuksek,970000,890000,-80000,108.99,69.59,79000,35000,-16.0,580333.0,24.24
2018,550000,537000,-2.36,-13000,50.5,Normal,820000,880000,60000,93.18,65.49,89000,37000,12.5,544000.0,66.67
2019,700000,773000,10.43,73000,53.0,Yuksek,1080000,920000,-160000,117.39,71.57,65000,39000,-2.36,661667.0,0.0
2020,700000,710000,1.43,10000,51.0,Yuksek,1020000,950000,-70000,107.37,69.61,72000,43000,10.43,673333.0,27.27
2021,700000,750000,7.14,50000,51.5,Yuksek,1060000,980000,-80000,108.16,70.75,73000,46000,1.43,744333.0,24.24
2022,750000,710000,-5.33,-40000,50.0,Normal,1000000,990000,-10000,101.01,71.0,72000,51000,7.14,723333.0,45.45
2023,680000,647000,-4.85,-33000,49.5,Normal,940000,1000000,60000,94.0,68.83,70000,48000,-5.33,702333.0,66.67
2024,700000,700000,0.0,0,50.5,Normal,1000000,1010000,10000,99.01,70.0,68000,45000,-4.85,685667.0,51.52
2025,680000,620000,-8.82,-60000,47.0,Dusuk,960000,1020000,60000,94.12,64.58,65000,50000,0.0,655667.0,66.67
