Tarih,TMO_Giresun_TL_kg,TMO_Levant_TL_kg,Serbest_Piyasa_TL_kg,Sezon_Yili,Hasat_Donemi
2019-08-01,13.0,12.5,13.0,2019,1
2019-09-01,13.0,12.5,13.0,2019,1
2019-10-01,13.0,12.5,13.0,2019,1
2019-11-01,13.0,12.5,13.0,2019,0
2019-12-01,13.0,12.5,13.0,2019,0
2020-01-01,13.0,12.5,13.0,2019,0
2020-02-01,13.0,12.5,13.0,2019,0
2020-03-01,13.0,12.5,13.0,2019,0
2020-04-01,13.0,12.5,13.0,2019,0
2020-05-01,13.0,12.5,13.0,2019,0
2020-06-01,13.0,12.5,13.0,2019,0
2020-07-01,13.0,12.5,13.0,2019,0
2020-08-01,22.5,22.0,22.5,2020,1
2020-09-01,22.5,22.0,23.38,2020,1
2020-10-01,22.5,22.0,24.25,2020,1
2020-11-01,22.5,22.0,25.12,2020,0
2020-12-01,22.5,22.0,26.0,2020,0
2021-01-01,22.5,22.0,23.5,2020,0
2021-02-01,22.5,22.0,24.0,2020,0
2021-03-01,22.5,22.0,24.5,2020,0
2021-04-01,22.5,22.0,25.0,2020,0
2021-05-01,22.5,22.0,25.5,2020,0
2021-06-01,22.5,22.0,26.0,2020,0
2021-07-01,22.5,22.0,26.5,2020,0
2021-08-01,27.0,26.5,27.0,2021,1
2021-09-01,27.0,26.5,29.75,2021,1
2021-10-01,27.0,26.5,32.5,2021,1
2021-11-01,27.0,26.5,35.25,2021,0
2021-12-01,27.0,26.5,38.0,2021,0
2022-01-01,27.0,26.5,40.0,2021,0
2022-02-01,27.0,26.5,42.0,2021,0
2022-03-01,27.0,26.5,44.0,2021,0
2022-04-01,27.0,26.5,46.0,2021,0
2022-05-01,27.0,26.5,48.0,2021,0
2022-06-01,27.0,26.5,50.0,2021,0
2022-07-01,27.0,26.5,52.0,2021,0
2022-08-01,53.0,52.0,54.0,2022,1
2022-09-01,53.0,52.0,55.0,2022,1
2022-10-01,53.0,52.0,56.0,2022,1
2022-11-01,53.0,52.0,57.0,2022,0
2022-12-01,53.0,52.0,58.0,2022,0
2023-01-01,53.0,52.0,60.0,2022,0
2023-02-01,53.0,52.0,62.4,2022,0
2023-03-01,53.0,52.0,64.8,2022,0
2023-04-01,53.0,52.0,67.2,2022,0
2023-05-01,53.0,52.0,69.6,2022,0
2023-06-01,53.0,52.0,72.0,2022,0
2023-07-01,53.0,52.0,78.0,2022,0
2023-08-01,84.0,82.5,84.0,2023,1
2023-09-01,84.0,82.5,87.0,2023,1
2023-10-01,84.0,82.5,90.0,2023,1
2023-11-01,84.0,82.5,96.25,2023,0
2023-12-01,84.0,82.5,102.5,2023,0
2024-01-01,84.0,82.5,110.0,2023,0
2024-02-01,84.0,82.5,113.33,2023,0
2024-03-01,84.0,82.5,116.67,2023,0
2024-04-01,84.0,82.5,120.0,2023,0
2024-05-01,84.0,82.5,122.67,2023,0
2024-06-01,84.0,82.5,125.33,2023,0
2024-07-01,84.0,82.5,128.0,2023,0
2024-08-01,132.0,130.0,132.0,2024,1
2024-09-01,132.0,130.0,136.0,2024,1
2024-10-01,132.0,130.0,140.0,2024,1
2024-11-01,132.0,130.0,137.5,2024,0
2024-12-01,132.0,130.0,135.0,2024,0
2025-01-01,132.0,130.0,127.0,2024,0
2025-02-01,132.0,130.0,140.0,2024,0
2025-03-01,132.0,130.0,195.0,2024,0
2025-04-01,132.0,130.0,185.0,2024,0
2025-05-01,132.0,130.0,182.0,2024,0
2025-06-01,132.0,130.0,175.0,2024,0
2025-07-01,132.0,130.0,190.0,2024,0
2025-08-01,200.0,195.0,200.0,2025,1
2025-09-01,200.0,195.0,300.0,2025,1
2025-10-01,200.0,195.0,295.0,2025,1
2025-11-01,200.0,195.0,285.0,2025,0
2025-12-01,200.0,195.0,278.0,2025,0
2026-01-01,200.0,195.0,272.0,2025,0
2026-02-01,200.0,195.0,267.0,2025,0
2026-03-01,200.0,195.0,270.0,2025,0
