Yil,Uretim_Ton_Azerbaycan,Uretim_Ton_Dunyaa,Uretim_Ton_Italya,Uretim_Ton_Turkiye,Turkiye_Pazar_Payi_Pct
2015,,920000.0,87000.0,646000.0,70.22
2016,,700000.0,75000.0,420000.0,60.0
2017,,970000.0,79000.0,675000.0,69.59
2018,,820000.0,89000.0,537000.0,65.49
2019,,1080000.0,65000.0,773000.0,71.57
2020,43000.0,1020000.0,72000.0,710000.0,69.61
2021,46000.0,1060000.0,73000.0,750000.0,70.75
2022,51000.0,1000000.0,72000.0,710000.0,71.0
2023,48000.0,940000.0,70000.0,647000.0,68.83
2024,,1000000.0,68000.0,700000.0,70.0
