Tarih,Asgari_Ucret_TL
2013-01-01,846.9
2013-01-02,846.9
2013-01-03,846.9
2013-01-04,846.9
2013-01-05,846.9
2013-01-06,846.9
2013-01-07,846.9
2013-01-08,846.9
2013-01-09,846.9
2013-01-10,846.9
2013-01-11,846.9
2013-01-12,846.9
2013-01-13,846.9
2013-01-14,846.9
2013-01-15,846.9
2013-01-16,846.9
2013-01-17,846.9
2013-01-18,846.9
2013-01-19,846.9
2013-01-20,846.9
2013-01-21,846.9
2013-01-22,846.9
2013-01-23,846.9
2013-01-24,846.9
2013-01-25,846.9
2013-01-26,846.9
2013-01-27,846.9
2013-01-28,846.9
2013-01-29,846.9
2013-01-30,846.9
2013-01-31,846.9
2013-02-01,846.9
2013-02-02,846.9
2013-02-03,846.9
2013-02-04,846.9
2013-02-05,846.9
2013-02-06,846.9
2013-02-07,846.9
2013-02-08,846.9
2013-02-09,846.9
2013-02-10,846.9
2013-02-11,846.9
2013-02-12,846.9
2013-02-13,846.9
2013-02-14,846.9
2013-02-15,846.9
2013-02-16,846.9
2013-02-17,846.9
2013-02-18,846.9
2013-02-19,846.9
2013-02-20,846.9
2013-02-21,846.9
2013-02-22,846.9
2013-02-23,846.9
2013-02-24,846.9
2013-02-25,846.9
2013-02-26,846.9
2013-02-27,846.9
2013-02-28,846.9
2013-03-01,846.9
2013-03-02,846.9
2013-03-03,846.9
2013-03-04,846.9
2013-03-05,846.9
2013-03-06,846.9
2013-03-07,846.9
2013-03-08,846.9
2013-03-09,846.9
2013-03-10,846.9
2013-03-11,846.9
2013-03-12,846.9
2013-03-13,846.9
2013-03-14,846.9
2013-03-15,846.9
2013-03-16,846.9
2013-03-17,846.9
2013-03-18,846.9
2013-03-19,846.9
2013-03-20,846.9
2013-03-21,846.9
2013-03-22,846.9
2013-03-23,846.9
2013-03-24,846.9
2013-03-25,846.9
2013-03-26,846.9
2013-03-27,846.9
2013-03-28,846.9
2013-03-29,846.9
2013-03-30,846.9
2013-03-31,846.9
2013-04-01,846.9
2013-04-02,846.9
2013-04-03,846.9
2013-04-04,846.9
2013-04-05,846.9
2013-04-06,846.9
2013-04-07,846.9
2013-04-08,846.9
2013-04-09,846.9
2013-04-10,846.9
2013-04-11,846.9
2013-04-12,846.9
2013-04-13,846.9
2013-04-14,846.9
2013-04-15,846.9
2013-04-16,846.9
2013-04-17,846.9
2013-04-18,846.9
2013-04-19,846.9
2013-04-20,846.9
2013-04-21,846.9
2013-04-22,846.9
2013-04-23,846.9
2013-04-24,846.9
2013-04-25,846.9
2013-04-26,846.9
2013-04-27,846.9
2013-04-28,846.9
2013-04-29,846.9
2013-04-30,846.9
2013-05-01,846.9
2013-05-02,846.9
2013-05-03,846.9
2013-05-04,846.9
2013-05-05,846.9
2013-05-06,846.9
2013-05-07,846.9
2013-05-08,846.9
2013-05-09,846.9
2013-05-10,846.9
2013-05-11,846.9
2013-05-12,846.9
2013-05-13,846.9
2013-05-14,846.9
2013-05-15,846.9
2013-05-16,846.9
2013-05-17,846.9
2013-05-18,846.9
2013-05-19,846.9
2013-05-20,846.9
2013-05-21,846.9
2013-05-22,846.9
2013-05-23,846.9
2013-05-24,846.9
2013-05-25,846.9
2013-05-26,846.9
2013-05-27,846.9
2013-05-28,846.9
2013-05-29,846.9
2013-05-30,846.9
2013-05-31,846.9
2013-06-01,846.9
2013-06-02,846.9
2013-06-03,846.9
2013-06-04,846.9
2013-06-05,846.9
2013-06-06,846.9
2013-06-07,846.9
2013-06-08,846.9
2013-06-09,846.9
2013-06-10,846.9
2013-06-11,846.9
2013-06-12,846.9
2013-06-13,846.9
2013-06-14,846.9
2013-06-15,846.9
2013-06-16,846.9
2013-06-17,846.9
2013-06-18,846.9
2013-06-19,846.9
2013-06-20,846.9
2013-06-21,846.9
2013-06-22,846.9
2013-06-23,846.9
2013-06-24,846.9
2013-06-25,846.9
2013-06-26,846.9
2013-06-27,846.9
2013-06-28,846.9
2013-06-29,846.9
2013-06-30,846.9
2013-07-01,846.9
2013-07-02,846.9
2013-07-03,846.9
2013-07-04,846.9
2013-07-05,846.9
2013-07-06,846.9
2013-07-07,846.9
2013-07-08,846.9
2013-07-09,846.9
2013-07-10,846.9
2013-07-11,846.9
2013-07-12,846.9
2013-07-13,846.9
2013-07-14,846.9
2013-07-15,846.9
2013-07-16,846.9
2013-07-17,846.9
2013-07-18,846.9
2013-07-19,846.9
2013-07-20,846.9
2013-07-21,846.9
2013-07-22,846.9
2013-07-23,846.9
2013-07-24,846.9
2013-07-25,846.9
2013-07-26,846.9
2013-07-27,846.9
2013-07-28,846.9
2013-07-29,846.9
2013-07-30,846.9
2013-07-31,846.9
2013-08-01,846.9
2013-08-02,846.9
2013-08-03,846.9
2013-08-04,846.9
2013-08-05,846.9
2013-08-06,846.9
2013-08-07,846.9
2013-08-08,846.9
2013-08-09,846.9
2013-08-10,846.9
2013-08-11,846.9
2013-08-12,846.9
2013-08-13,846.9
2013-08-14,846.9
2013-08-15,846.9
2013-08-16,846.9
2013-08-17,846.9
2013-08-18,846.9
2013-08-19,846.9
2013-08-20,846.9
2013-08-21,846.9
2013-08-22,846.9
2013-08-23,846.9
2013-08-24,846.9
2013-08-25,846.9
2013-08-26,846.9
2013-08-27,846.9
2013-08-28,846.9
2013-08-29,846.9
2013-08-30,846.9
2013-08-31,846.9
2013-09-01,846.9
2013-09-02,846.9
2013-09-03,846.9
2013-09-04,846.9
2013-09-05,846.9
2013-09-06,846.9
2013-09-07,846.9
2013-09-08,846.9
2013-09-09,846.9
2013-09-10,846.9
2013-09-11,846.9
2013-09-12,846.9
2013-09-13,846.9
2013-09-14,846.9
2013-09-15,846.9
2013-09-16,846.9
2013-09-17,846.9
2013-09-18,846.9
2013-09-19,846.9
2013-09-20,846.9
2013-09-21,846.9
2013-09-22,846.9
2013-09-23,846.9
2013-09-24,846.9
2013-09-25,846.9
2013-09-26,846.9
2013-09-27,846.9
2013-09-28,846.9
2013-09-29,846.9
2013-09-30,846.9
2013-10-01,846.9
2013-10-02,846.9
2013-10-03,846.9
2013-10-04,846.9
2013-10-05,846.9
2013-10-06,846.9
2013-10-07,846.9
2013-10-08,846.9
2013-10-09,846.9
2013-10-10,846.9
2013-10-11,846.9
2013-10-12,846.9
2013-10-13,846.9
2013-10-14,846.9
2013-10-15,846.9
2013-10-16,846.9
2013-10-17,846.9
2013-10-18,846.9
2013-10-19,846.9
2013-10-20,846.9
2013-10-21,846.9
2013-10-22,846.9
2013-10-23,846.9
2013-10-24,846.9
2013-10-25,846.9
2013-10-26,846.9
2013-10-27,846.9
2013-10-28,846.9
2013-10-29,846.9
2013-10-30,846.9
2013-10-31,846.9
2013-11-01,846.9
2013-11-02,846.9
2013-11-03,846.9
2013-11-04,846.9
2013-11-05,846.9
2013-11-06,846.9
2013-11-07,846.9
2013-11-08,846.9
2013-11-09,846.9
2013-11-10,846.9
2013-11-11,846.9
2013-11-12,846.9
2013-11-13,846.9
2013-11-14,846.9
2013-11-15,846.9
2013-11-16,846.9
2013-11-17,846.9
2013-11-18,846.9
2013-11-19,846.9
2013-11-20,846.9
2013-11-21,846.9
2013-11-22,846.9
2013-11-23,846.9
2013-11-24,846.9
2013-11-25,846.9
2013-11-26,846.9
2013-11-27,846.9
2013-11-28,846.9
2013-11-29,846.9
2013-11-30,846.9
2013-12-01,846.9
2013-12-02,846.9
2013-12-03,846.9
2013-12-04,846.9
2013-12-05,846.9
2013-12-06,846.9
2013-12-07,846.9
2013-12-08,846.9
2013-12-09,846.9
2013-12-10,846.9
2013-12-11,846.9
2013-12-12,846.9
2013-12-13,846.9
2013-12-14,846.9
2013-12-15,846.9
2013-12-16,846.9
2013-12-17,846.9
2013-12-18,846.9
2013-12-19,846.9
2013-12-20,846.9
2013-12-21,846.9
2013-12-22,846.9
2013-12-23,846.9
2013-12-24,846.9
2013-12-25,846.9
2013-12-26,846.9
2013-12-27,846.9
2013-12-28,846.9
